id,district,microdistrict,city,area,ceiling_height,year,add_time,update_time,rooms,text,housing_estate,floor,total_floors,building_type1,building_type2,lat,lng,currency,price,street,build_number,total_area,living_area,kitchen_area,with_hosts,not_assignment,collateral_real_estate,from_builder,by_assignment,no_commission,contract_of_lifelong_maintenance,exclusive,surrendered_first_time,without_finishing,without_a_balcony,common_kitchen,is_tech_floor,do_not_disturb_mediators
336030203,7,9,4,,2.75,2012,1466201418,1491901076,2,,111,5,16,1,,50.388996,30.463336,2,115000,143,5,80,48.5,10,,,,,,,,,,,,,,
336420929,1,,4,,,,1485869261,1491757575,4,,85,,,,,50.4114007222,30.5455394831,1,2650,517,,173,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
338367382,1,,4,,3,2010,1491235310,1491753787,3,,85,13,19,1,,50.411896,30.545631,1,2700,517,14,152,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
336870260,5,45,4,,3,2013,1487078813,1491892870,3,,,23,25,4,9,50.390994,30.625446,2,100000,75,13,120,54,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False
335379023,3,,4,,3,2014,1469988446,1491905129,2,,168,24,25,1,,50.462772,30.431669,2,115000,120,1б,76,46,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338357470,3,,4,,,,1487774027,1491462703,1,,,5,5,,,50.448158,30.519274,2,85000,656,,45,23,9,,,,,,,,,,,,,,
338359444,9,,4,,2.75,2008,1430134082,1491906436,3,,,8,16,3,18,50.506038,30.459131,2,84500,267,15а,78,43,12,,,,,,,,,,,,,,
328727375,1,21,4,,4.5,1917,1462856897,1491504537,5,,,3,4,0,10,50.446439,30.527824,1,2500,628,2/1,217,149,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338367241,1,,4,,3,2014,1491234261,1491752683,4,,85,23,30,1,,50.408507,30.543887,1,2900,517,17,147,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
338731092,3,7,4,,3,2015,1491824426,1491824426,3,,96,9,25,1,,50.450097,30.523397,1,2750,401,26а,133,80,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False
336173146,1,,4,,,,1485342608,1491829832,,,85,,30,,,50.4114007222,30.5455394831,1,4372,517,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338422955,2,54,4,,3.6,,1491386748,1491386749,4,,,4,5,,,,,1,2670,,,173,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338436189,5,,4,,2.85,2012,1491423023,1491565259,3,,,4,18,1,9,50.407922,30.613734,2,120000,736,19а,96,54,13,,,,,,,,,,,,,,
338758294,1,,4,,3,2012,1491897944,1491909068,3,,,27,46,0,12,50.4387,30.5384,1,2500,444,7а,152,69,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False
336772099,5,45,4,,2.5,,1486746010,1491811221,1,,,19,25,1,9,50.409074,30.61209,1,4400,19,23г,46,19,11,True,False,False,False,False,False,False,False,False,False,False,False,False,False
